MANDT,POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,DUMMY_ISU,ZEUGN,AMOUNT_LC
100,1,,,,,,,,,,,,,,,L1,HIGH BAY BIN,,,,8289999,X,16210000844894,,1.621E+13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9135830,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,1836,PCE,,HIGH BAY BIN,19991221,214752,19991221,,,16210000844894,,1.621E+13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,16210000867441,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,8244628,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,5,PCE,,HIGH BAY BIN,20100601,124405,20100601,,,1.621E+13,,1.621E+13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,K3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,8244702,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,190,PCE,,HIGH BAY BIN,20110527,105808,20110527,,,1.621E+13,,1.621E+13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,K1,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,8244731,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,15,PCE,,HIGH BAY BIN,20110705,82221,20110705,,,16210008694401,,1.621E+13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,DQA1A003817078,,DQA1A003817078,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31316094,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,8640,PCE,,HIGH BAY BIN,20130822,73705,20130822,,,DQA1A003817078,,DQA1A003817078,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,24,PCE,,HIGH BAY BIN,20140213,85001,20140213,,,1.621E+13,,1.621E+13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,23,PCE,,HIGH BAY BIN,20140213,84949,20140213,,,1.621E+13,,1.621E+13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,24,PCE,,HIGH BAY BIN,20140213,84936,20140213,,,1.621E+13,,1.621E+13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,9,PCE,,HIGH BAY BIN,20140213,84905,20140213,,,1.621E+13,,1.621E+13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,24,PCE,,HIGH BAY BIN,20140213,85042,20140213,,,1.621E+13,,1.621E+13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122008,20140604,,,1.621E+13,,1.621E+13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122013,20140604,,,1.621E+13,,1.621E+13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121956,20140604,,,1.621E+13,,1.621E+13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122001,20140604,,,1.621E+13,,1.621E+13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121933,20140604,,,1.621E+13,,1.621E+13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121944,20140604,,,1.621E+13,,1.621E+13,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121927,20140604,,,1.621E+13,,1.621E+13,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,L3,HIGH BAY BIN,,,,8289999,X,1.621E+13,,1.621E+13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,12,PCE,,HIGH BAY BIN,20140604,121920,20140604,,,1.621E+13,,1.621E+13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
